date,avg_hourly_temperature,precipitation,avg_hourly_pressure_station,solar_radiation
2019-06-29,0.8195314312224542,0.10886075949367088,0.5029821073558622,0.7791331269349845
2019-06-28,0.8074692646717698,0.11645569620253164,0.6202783300198789,0.473343653250774
2019-06-27,0.8503827418232428,0.17215189873417722,0.6003976143141152,0.8461300309597523
2019-06-26,0.8130364184643935,0.04177215189873418,0.5029821073558622,0.5916408668730649
2019-06-25,0.8044537230340988,0.08607594936708861,0.37773359840954157,0.5455417956656347
2019-06-24,0.8151241011366273,0.0,0.43737574552683967,0.7877399380804954
2019-06-23,0.8074692646717698,0.0,0.5009940357852898,0.9413622291021672
2019-06-22,0.7930874507074925,0.0,0.5149105367793219,0.8664705882352941
2019-06-21,0.7803293899327302,0.0,0.38568588469184917,0.770061919504644
2019-06-20,0.7395035954534911,0.03670886075949367,0.3081510934393634,0.16662538699690402
2019-06-19,0.8118765947575968,0.07974683544303797,0.3956262425447328,0.6540866873065015
2019-06-18,0.7967988865692415,0.0,0.4950298210735582,0.8369040247678018
2019-06-17,0.7195546276965901,0.0,0.5467196819085487,0.9350773993808049
2019-06-16,0.6710739967524937,0.0,0.47117296222663896,0.778297213622291
2019-06-15,0.6701461377870563,0.12151898734177215,0.42345924453280404,0.10972136222910217
2019-06-14,0.6613314776154025,0.05443037974683544,0.34194831013916627,0.2890712074303406
2019-06-13,0.673625608907446,0.19367088607594937,0.40556660039761283,0.3036222910216718
2019-06-12,0.7040129900255161,0.0,0.5924453280318076,0.9514241486068111
2019-06-11,0.6984458362328926,0.05443037974683544,0.4970178926441342,0.6483591331269349
2019-06-10,0.7970308513106008,0.23291139240506328,0.530815109343937,0.46040247678018575
2019-06-09,0.8206912549292508,0.0,0.6978131212723646,0.9061919504643963
2019-06-08,0.7580607747622361,0.0,0.6838966202783325,0.9633746130030959
2019-06-07,0.7404314544189283,0.0,0.5149105367793219,0.7814551083591331
2019-06-06,0.7088842495940617,0.0,0.4314115308151081,0.9444582043343653
2019-06-05,0.6223614010670377,0.005063291139240506,0.4115308151093444,0.33325077399380804
2019-06-04,0.5778241707260496,0.02531645569620253,0.5149105367793219,0.5733746130030959
2019-06-03,0.5460450011598237,0.005063291139240506,0.41550695825049644,0.46349845201238393
2019-06-02,0.662491301322199,0.05822784810126582,0.2942345924453278,0.3043034055727554
2019-06-01,0.647645557875203,0.002531645569620253,0.4115308151093444,0.3770278637770898
2019-05-31,0.5956854558107167,0.0,0.42345924453280404,0.6172445820433436
2019-05-30,0.6893992113198794,0.0,0.3081510934393634,0.7160371517027864
2019-05-29,0.639526791927627,0.0,0.3677932405566615,0.6722291021671826
2019-05-28,0.5606587798654605,0.08354430379746836,0.4532803180914513,0.29213622291021674
2019-05-27,0.6133147761540245,0.0,0.5666003976143159,0.5758204334365324
2019-05-26,0.7608443516585479,0.0,0.4532803180914513,0.8252321981424148
2019-05-25,0.6608675481326838,0.05063291139240506,0.5427435387673967,0.35873065015479877
2019-05-24,0.6812804453723034,0.0,0.5347912524850891,0.4780185758513932
2019-05-23,0.6740895383901646,0.0810126582278481,0.4652087475149109,0.25287925696594427
2019-05-22,0.6508930642542333,0.0,0.6918489065606366,0.6840557275541795
2019-05-21,0.6089074460681976,0.0,0.530815109343937,0.7227554179566563
2019-05-20,0.6833681280445372,0.0,0.33200795228628266,0.4278637770897833
2019-05-19,0.6362792855485966,0.10632911392405063,0.47117296222663896,0.514891640866873
2019-05-18,0.5871027603804222,0.012658227848101266,0.5546719681908563,0.6138699690402476
2019-05-17,0.5646021804685688,0.015189873417721518,0.37972166998012113,0.25674922600619193
2019-05-16,0.5193690559035027,0.02278481012658228,0.45924453280317934,0.5319814241486067
2019-05-15,0.5274878218510786,0.007594936708860759,0.43737574552683967,0.3827244582043344
2019-05-14,0.49106935745766644,0.09113924050632911,0.475149105367791,0.341702786377709
2019-05-13,0.565530039434006,0.10632911392405063,0.4731610337972185,0.32247678018575854
2019-05-12,0.5857109719322663,0.0,0.5586481113320083,0.6337461300309597
2019-05-11,0.5390860589190443,0.0,0.6083499005964192,0.6176160990712074
2019-05-10,0.623985154256553,0.2683544303797468,0.4393638170974157,0.16625386996904026
